N,pH,EC,Zn,Fe,Output
138,7.46,0.62,0.24,0.31,0
213,7.62,0.75,0.3,0.86,0
163,7.59,0.51,0.3,0.86,0
157,7.64,0.58,0.34,0.54,0
270,7.63,0.4,0.25,0.76,1
220,7.43,0.65,0.37,0.66,0
220,7.62,0.43,0.34,0.69,0
207,7.63,0.59,0.32,0.68,0
289,7.58,0.44,0.63,0.66,1
138,7.55,0.33,0.69,0.41,0
151,7.59,0.45,0.71,0.38,1
144,7.53,0.73,0.63,0.47,0
138,7.68,0.6,0.73,0.36,2
144,7.45,0.53,0.51,0.56,0
201,7.39,0.77,0.58,0.47,1
182,7.47,0.34,0.77,0.41,0
238,7.38,0.88,0.46,0.38,0
270,7.45,0.55,0.28,0.44,1
213,7.38,0.78,0.3,0.49,0
245,7.31,0.63,0.29,0.43,0
282,7.43,0.62,0.32,0.5,1
213,7.36,0.51,0.28,0.93,0
207,7.62,0.68,0.28,0.72,0
307,7.49,0.84,0.26,0.57,1
207,7.55,0.61,0.24,0.47,0
201,7.44,0.76,0.18,0.83,0
364,7.63,0.52,0.23,1.19,1
220,7.42,0.63,0.19,1.08,0
245,7.58,0.74,0.32,0.96,0
207,7.41,0.42,0.27,0.92,0
276,7.34,0.53,0.28,0.57,1
207,7.4,0.84,0.27,0.46,0
245,7.29,0.63,0.25,0.44,0
169,8.23,0.58,0.2,0.38,1
182,7.62,0.52,0.73,0.46,0
220,7.48,0.59,0.83,0.37,0
138,7.42,0.72,0.37,0.32,1
238,7.59,0.43,0.45,0.43,0
151,7.46,0.43,0.36,0.38,0
207,7.44,0.55,0.45,0.47,0
138,7.63,0.86,0.76,0.35,0
182,7.48,0.57,0.59,0.92,0
138,7.54,0.72,0.29,0.95,0
207,7.52,0.44,0.31,0.81,0
295,7.41,0.48,0.38,0.71,1
289,7.64,0.57,0.18,1.06,1
207,7.55,0.57,0.18,0.96,0
138,7.48,0.63,0.19,1.02,0
138,7.65,0.58,0.25,1.05,0
82,7.37,0.51,0.2,1.03,1
107,7.43,0.43,0.18,0.95,0
38,7.57,0.42,0.18,0.86,1
88,7.46,0.44,0.18,0.78,2
19,7.38,0.29,0.17,0.76,0
56,7.32,0.67,0.23,0.95,0
50,7.36,0.34,0.43,0.59,1
38,7.4,0.48,0.3,1.29,0
25,7.33,0.43,0.46,0.35,0
82,7.63,0.44,0.56,0.35,1
88,7.52,0.37,0.19,0.74,0
144,7.57,0.54,0.37,0.51,0
213,7.59,0.68,0.3,0.46,1
282,7.48,0.46,0.32,0.5,1
264,7.52,0.43,0.27,0.61,1
301,7.46,0.42,0.23,0.46,1
226,7.62,0.31,0.78,0.4,0
307,7.58,0.56,0.46,0.68,1
326,7.41,0.32,0.5,0.65,1
251,7.59,0.62,0.56,0.64,1
213,7.55,0.47,0.63,0.5,0
195,7.57,0.37,0.28,0.48,0
31,7.33,0.71,0.37,0.54,0
69,7.51,0.46,0.32,0.49,0
182,7.57,0.53,0.37,0.53,0
19,7.49,0.6,0.48,0.63,0
132,7.31,0.71,0.38,1.07,0
163,7.32,0.49,0.35,3.42,0
182,7.23,0.73,0.37,2.19,0
295,7.34,0.46,0.42,0.6,1
201,7.51,0.63,0.44,0.77,0
6,7.47,0.42,0.48,0.5,0
56,7.46,0.57,0.47,0.64,0
132,7.62,0.43,0.45,1.2,0
69,7.5,0.63,0.37,2.12,0
270,7.4,0.61,0.42,1.18,1
326,7.3,0.23,0.52,2.08,1
351,7.5,0.38,0.48,2.06,1
13,7.5,0.71,0.45,1.06,0
314,7.4,0.59,0.36,0.59,1
282,7.4,0.76,0.38,0.74,1
6,7.4,0.41,0.46,0.5,0
270,7.4,0.67,0.71,0.59,1
220,7.6,0.42,0.39,0.52,0
151,7.3,0.77,0.36,0.67,0
201,7.6,0.53,0.32,9.32,0
151,7.6,0.48,0.42,4.05,0
75,7.8,0.66,0.5,7.32,0
232,7.7,0.43,0.47,6.52,0
207,7.7,0.72,0.36,4.56,0
264,7.9,0.38,0.52,8.06,1
188,7.6,0.74,0.34,3.59,0
326,7.8,0.82,0.58,4.58,1
295,7.6,0.43,0.42,7.63,1
126,7.7,0.62,0.32,9.32,0
207,7.6,0.71,0.57,4.02,0
213,7.7,0.43,0.58,9.63,0
69,7.7,0.53,0.39,4.02,0
220,7.5,0.42,0.33,8.32,0
163,7.5,0.77,0.51,6.03,0
138,7.4,0.41,0.28,4.85,0
88,7.5,0.76,0.52,4.05,0
195,7.4,0.52,0.33,8.32,0
251,7.6,0.36,0.48,5.02,0
207,7.4,0.61,0.52,9.32,0
195,7.5,0.6,0.39,7.15,0
220,7.7,0.52,0.24,4.02,0
251,7.6,0.76,0.28,5.21,0
238,7.7,0.53,0.63,3.26,0
119,7.6,0.76,0.41,4.05,0
163,7.5,0.53,0.52,2.89,0
207,7.5,0.46,0.35,6.32,0
138,7.5,0.42,0.6,7.51,0
126,7.5,0.65,0.52,3.15,0
157,7.4,0.45,0.48,4.32,0
201,7.6,0.64,0.41,1.69,0
257,7.4,0.44,0.36,6.23,0
201,7.5,0.6,0.25,4.05,0
257,7.5,0.59,0.28,2.68,0
251,7.6,0.72,0.37,3.51,0
201,7.5,0.53,0.25,5.69,0
333,7.5,0.48,0.39,3.9,1
320,7.4,0.53,0.52,4.12,1
232,7.4,0.76,0.42,2.05,0
326,7.6,0.82,0.57,1.98,1
195,7.4,0.61,0.35,3.25,0
345,7.7,0.57,0.29,6.3,1
257,7.6,0.81,0.57,7.21,1
251,7.4,0.54,0.48,4.15,0
226,7.4,0.56,0.29,3.26,0
264,7.6,0.62,0.34,6.53,1
213,7.7,0.6,0.51,1.87,0
132,7.5,0.61,0.46,5.02,0
195,7.5,0.53,0.28,6.33,0
50,7.6,0.74,0.33,4.51,0
201,7.5,0.68,0.51,6.23,0
100,7.6,0.59,0.27,4.05,0
232,7.6,0.62,0.39,7.35,0
69,7.6,0.52,0.51,6.49,0
31,7.5,0.63,0.6,4.05,0
63,7.4,0.62,0.57,6.32,0
132,7.5,0.51,0.33,5.21,0
201,7.7,0.72,0.49,8.51,0
358,7.4,0.64,0.35,2.48,1
63,7.6,0.57,0.26,3.15,0
195,7.5,0.64,0.34,3.77,0
207,7.5,0.55,0.35,3.24,0
126,7.6,0.61,0.4,3.56,0
88,7.6,0.63,0.26,3.66,0
163,7.5,0.47,0.26,3.84,0
138,7.6,0.58,0.33,3.94,0
188,7.7,0.53,0.34,3.49,0
195,7.6,0.42,0.29,3.56,0
195,7.61,0.67,0.23,3.43,0
264,7.47,0.45,0.15,3.95,1
182,7.46,0.53,0.25,2.35,0
188,7.52,0.44,0.36,3.19,0
132,7.43,0.52,0.36,2.96,0
213,7.48,0.77,0.37,2.77,0
144,7.46,0.68,0.25,2.55,0
182,7.57,0.78,0.29,2.96,0
182,7.62,0.44,0.37,3.16,0
132,7.54,0.81,0.39,3.53,0
138,7.73,0.66,0.37,2.95,0
207,7.58,0.78,0.29,2.54,0
113,7.6,0.82,0.19,2.75,0
220,7.67,0.78,0.29,2.6,0
126,7.4,0.67,0.34,2.66,0
163,7.37,0.51,0.35,2.93,0
201,7.31,0.44,0.26,3.24,0
100,7.44,0.41,0.34,3.09,0
69,7.36,0.47,0.29,3.06,0
289,7.42,0.43,0.36,3.24,1
333,7.53,0.54,0.23,2.75,0
314,7.61,0.52,0.34,2.83,1
301,7.57,0.68,0.25,2.65,1
289,7.45,0.49,0.4,2.96,1
220,7.43,0.67,0.33,3.14,0
232,7.38,0.43,0.34,3.25,0
176,7.54,0.65,0.35,3.54,0
188,7.59,0.48,0.34,2.76,0
88,7.43,0.52,0.25,2.84,0
82,7.61,0.47,0.37,2.96,0
169,7.57,0.41,0.27,3.15,0
245,7.42,0.58,0.24,2.84,0
270,7.48,0.57,0.24,2.49,1
345,7.31,0.41,0.34,2.42,1
333,7.54,0.55,0.36,2.53,1
282,7.29,0.62,0.27,2.65,1
282,7.47,0.51,0.26,2.66,1
270,7.41,0.63,0.34,2.48,1
289,7.39,0.58,0.33,2.36,1
201,7.41,0.54,0.23,2.38,0
213,7.35,0.67,0.26,2.28,0
270,7.57,0.61,0.27,2.47,1
207,7.54,0.59,0.37,3.44,0
295,7.68,0.51,0.34,2.54,1
251,7.73,0.57,0.23,2.68,0
276,7.51,0.41,0.24,2.67,1
163,7.62,0.67,0.24,2.75,0
213,7.71,0.67,0.25,3.46,0
207,7.4,0.43,0.35,3.93,0
200,7.67,0.72,0.37,2.93,0
301,7.71,0.64,0.29,2.63,1
188,7.78,0.56,0.23,2.72,0
201,7.71,0.48,0.22,2.87,0
207,7.62,0.45,0.24,2.47,0
307,7.53,0.71,0.34,2.93,1
207,7.64,0.67,0.26,3.93,0
326,7.38,0.82,0.27,3.63,1
270,7.59,0.33,0.26,3.74,1
195,7.43,0.67,0.27,2.45,0
182,7.61,0.58,0.26,2.56,0
295,7.77,0.61,0.25,2.84,1
151,7.63,0.73,0.33,2.49,0
333,7.44,0.66,0.26,3.51,1
157,7.45,0.34,0.35,2.56,0
370,7.62,0.41,0.34,2.44,1
163,7.43,0.38,0.34,3.43,0
377,7.51,0.85,0.25,3.63,1
264,7.34,0.61,0.25,2.44,1
358,7.49,0.67,0.26,2.64,1
320,7.38,0.53,0.24,2.74,1
126,7.67,0.7,0.35,2.43,0
333,7.53,0.62,0.26,3.44,1
213,7.62,0.64,0.27,3.45,0
245,7.61,0.71,0.34,2.56,0
157,7.58,0.45,0.32,2.67,0
213,7.66,0.63,0.33,2.74,0
82,7.65,0.78,0.27,4.44,0
195,7.66,0.53,0.27,3.44,0
100,7.71,0.67,0.38,2.45,0
238,7.61,0.62,0.34,2.56,0
213,7.54,0.44,0.33,2.67,0
6,7.42,0.53,0.34,2.68,0
257,7.43,0.58,0.34,3.74,0
188,7.52,0.62,0.25,3.43,0
144,7.47,0.58,0.24,3.43,0
238,7.54,0.43,0.35,2.44,0
157,7.33,0.59,0.34,2.45,0
195,7.48,0.37,0.23,2.56,0
63,7.53,0.65,0.23,3.43,0
238,7.51,0.58,0.38,7.05,0
163,7.43,0.59,0.51,4.63,0
232,7.47,0.63,0.6,8.02,0
132,7.71,0.61,0.79,6.32,0
207,7.64,0.44,0.53,5.5,0
195,7.62,0.62,0.48,9.06,0
138,7.53,0.53,0.35,7.51,0
251,7.41,0.51,0.29,4.56,0
207,7.57,0.62,0.62,8.04,0
307,7.41,0.42,0.47,5.26,1
264,7.67,0.63,0.51,9.26,0
201,7.63,0.43,0.38,7.51,0
257,7.62,0.51,0.57,8.02,0
144,7.71,0.71,0.36,5.03,0
251,7.53,0.54,0.47,9.22,0
182,7.51,0.61,0.24,2.84,0
289,7.18,0.64,0.23,2.44,1
75,7.61,0.51,0.25,3.33,0
220,7.67,0.62,0.23,2.87,0
282,7.71,0.48,0.24,2.48,1
195,7.65,0.54,0.34,2.43,0
176,7.67,0.58,0.27,3.56,0
182,7.72,0.56,0.27,2.68,0
226,7.68,0.62,0.27,2.48,0
257,7.7,0.64,0.34,3.44,0
276,7.71,0.48,0.24,2.54,1
270,7.65,0.44,0.24,3.63,1
295,7.76,0.39,0.25,2.74,1
232,7.62,0.54,0.36,2.82,0
245,7.77,0.52,0.27,2.43,0
251,7.65,0.6,0.28,3.74,0
213,7.63,0.65,0.39,3.74,0
339,7.6,0.55,0.28,3.85,1
351,7.4,0.44,0.29,2.46,1
264,7.5,0.46,0.27,2.47,0
358,7.3,0.53,0.24,2.58,1
370,7.1,0.67,0.23,2.63,1
333,7.8,0.68,0.23,3.73,1
282,7.2,0.52,0.24,3.77,1
257,7.5,0.29,0.26,2.84,1
301,7.6,0.6,0.24,2.43,1
333,7.2,0.31,0.24,2.94,1
195,7.1,0.52,0.34,2.94,0
314,7.4,0.31,0.26,2.85,1
351,7.5,0.43,0.28,2.48,1
339,7.3,0.36,0.27,2.58,1
264,7.4,0.65,0.27,2.47,1
169,7.6,0.34,0.26,5.26,0
333,7.5,0.68,0.38,2.51,1
370,7.3,0.59,0.51,8.05,1
326,7.1,0.57,0.24,4.21,1
251,7.4,0.42,0.22,9.02,1
301,7.3,0.31,0.37,10.52,1
270,7.2,0.3,0.48,7.45,1
320,7.1,0.34,0.25,6.32,1
282,7.5,0.65,0.39,2.05,1
301,7.6,0.33,0.45,8.12,1
295,7.2,0.68,0.26,6.02,1
339,7.4,0.66,0.33,7.45,1
201,7.5,0.6,0.28,4.12,0
320,7.6,0.59,0.27,6.33,1
289,7.3,0.37,0.45,5.02,1
251,7.2,0.24,0.29,9.32,0
276,7.4,0.42,0.33,1.54,1
370,7.5,0.61,0.26,2.63,1
207,7.6,0.57,0.35,8.55,0
295,7.8,0.55,0.24,6.33,1
351,7.9,0.43,0.27,4.02,1
282,7.3,0.48,0.49,3.25,1
307,8,0.56,0.32,8.05,1
364,7.4,0.53,0.25,1.96,1
257,7.9,0.51,0.29,3.02,1
251,7.3,0.59,0.33,4.51,1
326,7.6,0.64,0.45,6.33,1
270,7.8,0.3,0.28,7.02,1
339,7.3,0.35,0.56,3.05,1
207,8.1,0.32,0.25,2.08,0
351,7.4,0.36,0.33,3.79,1
282,7.2,0.68,0.26,2.6,1
151,7.3,0.75,0.27,6.52,0
295,7.4,0.21,0.32,3.21,1
270,7.5,0.45,0.28,4.21,0
238,7.6,0.57,0.51,2.15,0
264,7.8,0.38,0.26,3.51,1
370,7.9,0.61,0.33,7.21,1
289,7.8,0.46,0.27,3.02,1
251,7.8,0.39,0.48,2.77,0
320,8.3,0.65,0.52,5.66,1
333,7.4,0.37,0.26,3.14,1
282,7.8,0.45,0.39,6.02,1
264,7.6,0.49,0.51,4.22,0
257,7.5,0.41,0.28,4.05,0
276,7.6,0.48,0.47,3.39,1
364,7.8,0.43,0.25,4.22,1
358,7.9,0.59,0.32,2.58,1
351,7.3,0.51,0.29,5.33,1
370,7.4,0.65,0.33,4.21,1
314,7.9,0.69,0.45,2.63,1
201,7.23,0.33,0.26,4.05,0
213,7.16,0.3,0.38,6.21,0
169,7.03,0.36,0.6,7.22,0
201,7,0.42,0.48,6.05,0
270,7,0.36,0.32,3.54,0
238,6.96,0.44,0.28,5.63,0
176,9.97,0.35,0.74,4.36,0
245,7,0.36,0.59,3.05,0
201,7.16,0.4,0.32,4.63,0
207,7.02,0.32,0.48,5.74,0
257,7.01,0.33,0.62,5.63,0
220,7.05,0.38,0.43,8.52,0
295,7,0.41,0.24,3.55,1
213,7.05,0.37,0.51,3.02,0
201,7.07,0.26,0.38,4.15,0
345,7,0.67,0.5,6.52,1
188,7.14,0.6,0.46,7.54,0
207,7.17,0.66,0.32,6.32,0
320,7.08,0.39,0.33,8.05,0
220,7.12,0.3,0.46,3.59,0
213,7.1,0.32,0.59,5.55,0
264,7.19,0.65,0.38,8.06,0
195,7.15,0.64,0.26,3.47,0
182,7.31,0.52,0.7,9.55,0
201,7.14,0.59,0.63,4.85,0
232,7.16,0.62,0.4,3.86,0
169,7.17,0.82,0.49,7.54,0
238,7.21,0.59,0.53,4.25,0
201,7.23,0.62,0.61,6.85,0
69,7.21,0.57,0.38,7.05,0
213,7.24,0.48,0.42,8.85,0
207,7.24,0.53,0.5,4.68,0
213,7.21,0.57,0.37,9.32,0
314,7.19,0.32,0.61,7.86,1
138,7.21,0.89,0.59,4.51,0
195,7.24,0.57,0.4,3.78,0
201,7.3,0.49,0.39,8.05,0
151,7.26,0.55,0.6,6.55,0
201,7.2,0.67,0.43,7.41,0
82,7.18,0.45,0.28,3.89,0
207,7.27,0.45,0.36,4.58,0
201,7.22,0.64,0.55,7.08,0
132,7.21,0.44,0.6,6.32,0
264,7.27,0.78,0.41,4.58,0
301,7.22,0.69,0.66,7.05,1
195,7.26,0.7,0.38,6.58,0
238,7.25,0.6,0.28,4.85,0
138,7.31,0.31,0.51,7.05,0
213,7.07,0.43,0.39,3.86,0
201,7.03,0.37,0.47,4.15,0
163,7.14,0.31,0.56,9.52,0
88,7.07,0.28,0.33,7.55,0
50,7.06,0.39,0.28,2.36,0
220,7.07,0.28,0.51,8.25,0
169,7.17,0.34,0.39,1.25,0
207,7.12,0.32,0.25,9.02,0
144,7.1,0.31,0.37,4.15,0
251,7.12,0.32,0.47,3.22,0
195,7.15,0.41,0.28,7.55,0
201,7.12,0.4,0.32,6.35,0
88,7.12,0.35,0.58,8.52,0
201,7.11,0.38,0.24,4.02,0
257,7.14,0.33,0.39,9.63,0
176,7.15,0.32,0.22,1.58,0
201,7.15,0.36,0.58,7.25,0
88,7.14,0.29,0.42,6.32,0
232,7.21,0.29,0.32,4.15,0
320,7.22,0.4,0.27,8.33,1
201,7.23,0.36,0.51,7.12,0
69,7.2,0.52,0.28,4.11,0
220,7.23,0.29,0.33,6.32,0
138,7.28,0.27,0.39,2.52,0
232,7.3,0.31,0.25,1.36,0
301,7.29,0.43,0.47,7.05,1
195,7.3,0.36,0.26,1.52,0
326,7.35,0.38,0.35,4.55,1
213,7.35,0.36,0.28,6.32,0
169,7.29,0.33,0.36,5.21,0
182,7.18,0.31,0.42,3.26,0
94,7.32,0.32,0.51,7.51,0
295,7.35,0.34,0.38,4.02,1
320,7.46,0.7,0.22,9.32,1
201,7.37,0.39,0.29,1.05,0
213,7.49,0.78,0.36,5.26,0
207,7.39,0.45,0.37,8.33,0
94,7.42,0.41,0.54,4.21,0
295,7.41,0.35,0.48,2.05,1
195,7.44,0.3,0.26,3.22,0
364,7.45,0.49,0.35,7.12,1
